fax_no,gifted_ind,mothertongue3_code,fifth_vp_name,postal_code,type_code,second_vp_name,first_vp_name,mainlevel_code,email_address,sap_ind,telephone_no_2,mrt_desc,bus_desc,third_vp_name,telephone_no,ip_ind,principal_name,mothertongue1_code,nature_code,fourth_vp_name,autonomous_ind,session_code,school_name,dgp_code,address,sixth_vp_name,mothertongue2_code,fax_no_2,zone_code,_id,url_address
62820244,No,Tamil,NULL,349692,GOVERNMENT SCHOOL,MDM TAN GEOK LAN,MDM LIM YING YING,SECONDARY,cedargirlss@moe.edu.sg,No,na,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",NULL,62884909,Yes,MDM TEY KAH HWEE,Chinese,GIRLS' SCHOOL,NULL,Yes,SINGLE SESSION,CEDAR GIRLS' SECONDARY SCHOOL,TOA PAYOH,1    CEDAR AVENUE,NULL,Malay,na,EAST,50,http://www.cedargirlssec.moe.edu.sg
62830113,No,Tamil,NULL,349700,GOVERNMENT SCHOOL,MDM NUR RASHIDAH BTE ABDUL RASHID,MS CHOONG PEI CHIN,PRIMARY,CEDAR_PS@MOE.EDU.SG,No,na,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",NULL,62885633,No,MR CHRIS CHUA,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CEDAR PRIMARY SCHOOL,TOA PAYOH,15   CEDAR AVENUE,NULL,Malay,na,SOUTH,51,Http://www.cedarpri.moe.edu.sg
67868481,No,Tamil,NULL,529894,GOVERNMENT SCHOOL,MR DANNY CHEW POH HUAT,MISS LOH SEIN LING,SECONDARY,CHANGKATCHGI@MOE.EDU.SG,No,na,SIMEI MRT,"5, 9, 20, 38",NULL,67859790,No,MR HO MING DA,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHANGKAT CHANGI SECONDARY SCHOOL,TAMPINES,23   SIMEI ST 3,NULL,Malay,na,EAST,52,http://www.changkatchangisec.moe.edu.sg
67844740,No,Tamil,NULL,529896,GOVERNMENT SCHOOL,NULL,MDM SITI NAZRAH BTE ABDUL RAHMAN,PRIMARY,CHANGKAT_PS@MOE.EDU.SG,No,na,Simei MRT Station,"9,38,5",NULL,67830923,No,MDM CHENG HUEY TENG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHANGKAT PRIMARY SCHOOL,TAMPINES,11   SIMEI ST 3,NULL,Malay,na,EAST,53,http://www.changkatpri.moe.edu.sg/
63459007,No,Tamil,NULL,424821,GOVERNMENT-AIDED SCH,NULL,MDM TAN POH KUAN JOYCELYN,PRIMARY,CHIJKTPS@moe.edu.sg,No,na,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",NULL,63443072,No,MDM CHUA SOOK LIAN JUDINA,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ (KATONG) PRIMARY,BEDOK,17   MARTIA ROAD,NULL,Malay,na,EAST,54,http://chijkcp.moe.edu.sg/
62731710,No,Tamil,NULL,99757,GOVERNMENT-AIDED SCH,MRS CHAN-TIONG LE CHIN,MS NG CHIOU HIEN HELEN,PRIMARY,CHIJKS@MOE.EDU.SG,No,na,Outram Park Station,"61, 124, 143, 166",NULL,62730096,No,MRS SHANTHI SURAJ NAIR,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ (KELLOCK),BUKIT MERAH,1    Bukit Teresa Road,NULL,Malay,na,SOUTH,55,http://www.chijkellock.moe.edu.sg/
64494405,No,Tamil,NULL,449150,GOVERNMENT-AIDED SCH,MISS LIM AI HUI ANNIE,MDM ONG BEE HOON,SECONDARY,chijktcs@moe.edu.sg,No,na,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",NULL,64486433,No,MDM CHAN GEK SAN PATRICIA,Chinese,GIRLS' SCHOOL,NULL,Yes,SINGLE SESSION,CHIJ KATONG CONVENT,MARINE PARADE,346  MARINE TERRACE,NULL,Malay,na,EAST,56,http://www.chijkatongconvent.moe.edu.sg
62814132,No,Tamil,NULL,558979,GOVERNMENT-AIDED SCH,MISS LIAT MEI KUEN GERALDINE SHARON,MRS WONG-LIM ENG LING ANGELINA,PRIMARY,chijolgcs@moe.edu.sg,No,na,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",NULL,62886930,No,MISS TAN LEE YIN GRACE,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ OUR LADY OF GOOD COUNSEL,SERANGOON,2C   Burghley Drive,NULL,Malay,na,SOUTH,57,http://www.chijourladyofgoodcounsel.moe.edu.sg
63852012,No,Tamil,NULL,534793,GOVERNMENT-AIDED SCH,MDM LIM HUI MEOW ANNIE,MDM YEO DAI YUN,PRIMARY,chijoln@moe.edu.sg,No,na,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",NULL,63852455,No,MDM CHRISTINA TEO,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ OUR LADY OF THE NATIVITY,HOUGANG,1257 UPPER SERANGOON ROAD,NULL,Malay,na,SOUTH,58,http://www.chijourladyofthenativity.moe.edu.sg/
67653551,No,Tamil,NULL,679287,GOVERNMENT-AIDED SCH,MDM LOH AH LAH CATHERINE MICHELLE,MISS CECILIA TAN LI HUA,PRIMARY,CHIJOLQP@MOE.EDU.SG,No,na,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",NULL,67691529,No,MS ALBUQUERQUE KAREN ANNE,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ OUR LADY QUEEN OF PEACE,BUKIT PANJANG,4    Chestnut Drive,NULL,Malay,na,WEST,59,http://www.chijourladyqueenofpeace.moe.edu.sg/
63536362,No,Tamil,NULL,319765,GOVERNMENT-AIDED SCH,MRS CHARMAINE LEE,MDM MISCHA LEIGH PEREIRA,PRIMARY,CHIJTPPS@MOE.EDU.SG,No,na,Toa Payoh,"59, 231, 141",NULL,63532164,No,DR TAN SOON KEE MARGARET,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ PRIMARY (TOA PAYOH),TOA PAYOH,628  Lorong 1 Toa Payoh,NULL,Malay,na,SOUTH,60,http://www.chijpritoapayoh.moe.edu.sg
63544573,No,Tamil,NULL,319764,GOVERNMENT-AIDED SCH,MISS PHUA AI LING ADELINE,MISS TEO GEOK SIAN,SECONDARY,CHIJTPSS@MOE.EDU.SG,No,na,TOA PAYOH MRT,"59, 141, 231",NULL,63534972,No,MDM RACHEL ANG LAY KOON,Chinese,GIRLS' SCHOOL,NULL,Yes,SINGLE SESSION,CHIJ SECONDARY (TOA PAYOH),TOA PAYOH,626  LORONG 1 TOA PAYOH,NULL,Malay,na,SOUTH,61,http://www.chijsec.edu.sg
64897589,No,Tamil,NULL,548595,GOVERNMENT-AIDED SCH,MISS HO WEI LING,MISS TAN KIM BERLINA,SECONDARY,CHIJSJCS@MOE.EDU.SG,No,na,SENGKANG MRT,"50, 82, 86, 88, 119, 136",NULL,64897580,No,MRS VALERIE PINTO,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ ST. JOSEPH'S CONVENT,SENG KANG,62   SENGKANG EAST WAY,NULL,Malay,na,NORTH,62,http://www.chijstjosephsconvent.moe.edu.sg
67636807,No,Tamil,NULL,688845,GOVERNMENT SCHOOL,NULL,MDM HARTATI BTE OSMAN,SECONDARY,CCKSS@MOE.EDU.SG,No,67664425,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",NULL,67655228,No,MDM ONG LIANG FUNG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHUA CHU KANG SECONDARY SCHOOL,CHOA CHU KANG,3    TECK WHYE CRESCENT,NULL,Malay,na,WEST,69,http://www.chuachukangsec.moe.edu.sg
64511335 (Secondary),No,na,NULL,569405,GOVERNMENT-AIDED SCH,MS BAEY EE-LYN,MISS YEO TECK WOON,MIXED LEVELS,chijsng_sec@moe.edu.sg,Yes,64549698 (Primary),"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT (End 2021)","76, 265, 268, 269",MDM AMY TAN,63541839 (Secondary),Yes,MDM FIONA YEO SU LING,Chinese,GIRLS' SCHOOL,MR TING POH LEONG ALOYSIUS,Yes,SINGLE SESSION,CHIJ ST. NICHOLAS GIRLS' SCHOOL,ANG MO KIO,501  ANG MO KIO STREET 13,NULL,na,64566169 (Primary),NORTH,63,http://www.chijstnicholasgirls.moe.edu.sg
64775700,No,Tamil,NULL,99138,GOVERNMENT-AIDED SCH,"MISS KUO ZHAOYAN, FELICIA",MDM ONG LEE LEE,SECONDARY,CHIJSTCS@MOE.EDU.SG,No,na,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",NULL,64775777,No,MDM TAN MEI MEI JENNY,Chinese,GIRLS' SCHOOL,NULL,No,SINGLE SESSION,CHIJ ST. THERESA'S CONVENT,BUKIT MERAH,160  LOWER DELTA ROAD,NULL,Malay,na,SOUTH,64,http://www.chijsttheresasconvent.moe.edu.sg
62579571,No,Tamil,NULL,768959,GOVERNMENT-AIDED SCH,MISS LIM HWEE MIEN ANGELYNNA,MR SOON WOO SIN,PRIMARY,CFS@MOE.EDU.SG,No,na,Yishun MRT station,Feeder Service 811,NULL,67585527,No,MDM FOO MUI CHUW,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHONGFU SCHOOL,YISHUN,170  YISHUN AVENUE 6,NULL,Malay,na,NORTH,65,http://www.chongfu.moe.edu.sg/
67845054,No,Tamil,NULL,529392,GOVERNMENT SCHOOL,NULL,MDM RANJIT KAUR D/O MUKHTAR SINGH,PRIMARY,czps@moe.edu.sg,No,na,Tampines MRT Station,"3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",NULL,67819002,No,MR LIM WEE JAMES,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHONGZHENG PRIMARY SCHOOL,TAMPINES,1    TAMPINES STREET 21,NULL,Malay,na,EAST,66,http://www.chongzhengpri.moe.edu.sg
68932789,No,Tamil,NULL,737924,GOVERNMENT-AIDED SCH,MRS LEE BEE CHEOW,MR ONG KAH HUI VICTOR,SECONDARY,ccss@moe.edu.sg,No,na,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",NULL,68933297,No,MR LAU YAN BOON DAVID,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHRIST CHURCH SECONDARY SCHOOL,WOODLANDS,20   WOODLANDS DRIVE 17,NULL,Malay,na,NORTH,67,http://www.christchurchsec.moe.edu.sg
67661583,No,Tamil,NULL,689905,GOVERNMENT SCHOOL,NULL,MDM CHEW BOON HWEE,PRIMARY,cckps@moe.edu.sg,No,na,Choa Chu Kang MRT Station and Southview LRT Station,"Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2 Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",NULL,67661574,No,MDM KUEK YEN YEN SHEREE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHUA CHU KANG PRIMARY SCHOOL,CHOA CHU KANG,20   CHOA CHU KANG AVENUE 2,NULL,Malay,na,WEST,68,http://www.chuachukangpri.moe.edu.sg
63658083,No,Tamil,NULL,738489,GOVERNMENT SCHOOL,MR LAK YAU HUI,MR CHUA TUNG KIAN,SECONDARY,EVERGREEN_SS@MOE.EDU.SG,No,na,WOODLANDS MRT,911,NULL,63656392,No,MR TOH KIM YONG VINCENT,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,EVERGREEN SECONDARY SCHOOL,WOODLANDS,11   WOODLANDS STREET 83,NULL,Malay,na,NORTH,98,http://www.evergreensec.moe.edu.sg
63449686,No,na,NULL,439012,GOVERNMENT-AIDED SCH,"MDM TAN JWEE LYNN, CHERYL",DR ONG CHUN GHEE,SECONDARY,CCHMS@MOE.EDU.SG,Yes,na,DAKOTA MRT,"10, 12, 14, 16, 16M, 30, 31, 32, 33, 40, 43, 135, 134, 196, 197",NULL,63441393,No,MR CHAN YING YIN,Chinese,CO-ED SCHOOL,NULL,Yes,SINGLE SESSION,CHUNG CHENG HIGH SCHOOL (MAIN),MARINE PARADE,50   GOODMAN ROAD,NULL,na,na,EAST,70,http://www.chungchenghighmain.moe.edu.sg
67587397,No,Tamil,NULL,768547,GOVERNMENT-AIDED SCH,MR CHANG FOOK YONG,MRS CHONG LAI PENG NEE YEO,SECONDARY,cchys@moe.edu.sg,No,na,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",NULL,67583912,No,MR TAN YEE KAN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CHUNG CHENG HIGH SCHOOL (YISHUN),YISHUN,11   YISHUN STREET 61,NULL,Malay,na,NORTH,71,http://www.chungchenghighyishun.moe.edu.sg
67732898,No,Tamil,NULL,129903,GOVERNMENT SCHOOL,NULL,MRS TAN SIEW HONG,PRIMARY,admin_clementi_ps@moe.edu.sg,No,na,Clementi MRT Station,We are just beside Clementi Bus Interchange.,NULL,67797449,No,MR VIMALENTHIRAN S/O VIJAYASINGAM,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CLEMENTI PRIMARY SCHOOL,CLEMENTI,8    CLEMENTI AVE 3,NULL,Malay,na,WEST,72,http://www.clementipri.moe.edu.sg
67789543,No,Tamil,NULL,129904,GOVERNMENT SCHOOL,MRS TAY CHEN LAI,MISS LEONG KAI LING,SECONDARY,ctss@moe.edu.sg,No,na,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",NULL,67777362,No,MDM LEE CHING GUAN HELEN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CLEMENTI TOWN SECONDARY SCHOOL,CLEMENTI,10   CLEMENTI AVE 3,NULL,Malay,na,WEST,73,http://www.clementitownsec.moe.edu.sg
65645204,No,Tamil,NULL,608784,GOVERNMENT SCHOOL,NULL,MR LEOW ZHI WEN PHILIBERT,SECONDARY,cwss@moe.edu.sg,No,na,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",NULL,65606866,No,MR NG BOON KIAT,Chinese,CO-ED SCHOOL,NULL,Yes,SINGLE SESSION,COMMONWEALTH SECONDARY SCHOOL,JURONG EAST,698  WEST COAST ROAD,NULL,Malay,na,WEST,74,http://www.commonwealthsec.moe.edu.sg
63882798,No,Tamil,NULL,545091,GOVERNMENT SCHOOL,NULL,MDM YEOW CHERN EE,PRIMARY,cvps@moe.edu.sg,No,na,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",NULL,63882819,No,MR JEFFREY AW,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,COMPASSVALE PRIMARY SCHOOL,SENG KANG,21   COMPASSVALE ST,NULL,Malay,na,NORTH,75,http://www.compassvalepri.moe.edu.sg/
68815998,No,Tamil,NULL,545083,GOVERNMENT SCHOOL,MISS KEE LEE LING,MR SUKHDEV SINGH S/O GURDEEP SINGH,SECONDARY,CVSS@MOE.EDU.SG,No,na,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965",NULL,68815047,No,MR CHIA CHOR YANN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,COMPASSVALE SECONDARY SCHOOL,SENG KANG,51   COMPASSVALE CRESCENT,NULL,Malay,na,NORTH,76,http://www.compassvalesec.moe.edu.sg
67632452,No,Tamil,NULL,689814,GOVERNMENT SCHOOL,MDM GOH PUAY HOON JENNY,MS LIM KAR WAE FIONA,PRIMARY,CONCORD_PS@MOE.EDU.SG,No,na,Choa Chu Kang MRT Station,Bus 300 and 983,NULL,67632139,No,MR TAN SIEW TIONG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CONCORD PRIMARY SCHOOL,CHOA CHU KANG,3    CHOA CHU KANG AVE 4,NULL,Malay,na,WEST,77,http://www.concordpri.moe.edu.sg/
67957098,No,Tamil,NULL,648347,GOVERNMENT SCHOOL,MRS CHRISTINA TAN-LIM LAY LENG,MDM POON GEK HONG,PRIMARY,cps@moe.edu.sg,No,na,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",NULL,67957381,No,MRS JENNIFER PANG CHEE CHYN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CORPORATION PRIMARY SCHOOL,JURONG WEST,31   JURONG WEST STREET 24,NULL,Malay,na,WEST,78,http://www.corporationpri.moe.edu.sg
64741248,No,Tamil,NULL,247961,GOVERNMENT SCHOOL,NULL,MISS USHA JEYARAJAH,SECONDARY,CRESCENTGIRL@MOE.EDU.SG,No,na,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",NULL,64758711,No,MRS HELEN CHONG,Chinese,GIRLS' SCHOOL,NULL,Yes,SINGLE SESSION,CRESCENT GIRLS' SCHOOL,BUKIT MERAH,357  TANGLIN ROAD,NULL,Malay,na,SOUTH,79,http://www.crescent.edu.sg
68992668,No,Tamil,NULL,609561,SPECIALISED SCHOOL,MR CHAN TECK HONG DAVID,MR HO KUM FAI SAM,SECONDARY,info@crestsec.edu.sg,No,na,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",NULL,68992779,No,MR SEET TIAT HEE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,CREST SECONDARY SCHOOL,JURONG EAST,561  JURONG EAST STREET 24,NULL,Malay,na,WEST,80,http://www.crestsec.edu.sg
64499681,No,Tamil,NULL,479226,GOVERNMENT SCHOOL,NULL,MDM LIM PECK CHIN YENLYN,PRIMARY,DAMAI_PS@MOE.EDU.SG,No,na,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",NULL,64456483,No,MRS LEONG- TAN LING LING JENNY,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,DAMAI PRIMARY SCHOOL,BEDOK,52   BEDOK RESERVOIR CRESCENT,NULL,Malay,na,EAST,81,http://www.damaipri.moe.edu.sg
64425629,No,Tamil,NULL,479229,GOVERNMENT SCHOOL,MR SIVAKUMAR S/O VISWANATHAN,MRS OH WEE MING,SECONDARY,damai_ss@moe.edu.sg,No,na,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",NULL,64436848,No,MDM CHAN WAN SIONG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,DAMAI SECONDARY SCHOOL,BEDOK,4800 BEDOK RESERVOIR ROAD,NULL,Malay,na,EAST,82,http://www.damaisec.moe.edu.sg
65636421,No,Tamil,NULL,659441,GOVERNMENT SCHOOL,MRS BOEY- LIM SEOW KHIM,MR PHANG TECK HOW,PRIMARY,dazhong_ps@moe.edu.sg,No,na,Bukit Gombak,"187, 188",NULL,65658002,No,MDM YAP SIU LIN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,DAZHONG PRIMARY SCHOOL,BUKIT BATOK,35   BUKIT BATOK STREET 31,NULL,Malay,na,WEST,83,http://www.dazhongpri.moe.edu.sg
67622075,No,Tamil,NULL,689285,GOVERNMENT-AIDED SCH,NULL,MR CHING KIN HIN,PRIMARY,dlss@moe.edu.sg,No,na,YEW TEE MRT,"TIBS 302, 979",NULL,67667675,No,MDM CHERYL CHOO SHUEH-LI,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,DE LA SALLE SCHOOL,CHOA CHU KANG,11   Choa Chu Kang St 52,NULL,Malay,na,WEST,84,http://www.delasalle.moe.edu.sg
64583364,No,Tamil,NULL,569277,GOVERNMENT SCHOOL,MR APOLLOS INDUCHOODAN S/O R A P,MDM TAN SHAO MAY,SECONDARY,DEYI_SS@MOE.EDU.SG,No,na,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",NULL,64561565,No,MRS LIM AI POO,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,DEYI SECONDARY SCHOOL,ANG MO KIO,1    ANG MO KIO STREET 42,NULL,Malay,na,SOUTH,85,http://www.deyisec.moe.edu.sg
65668650,No,Tamil,NULL,659204,GOVERNMENT SCHOOL,MISS TAY JIA MING JASMINE,MRS SHANTHIMALAR SOMASUNDRAM,SECONDARY,DUNEARN_SS@MOE.EDU.SG,No,na,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",NULL,65653692,No,MDM TAN MIAO LING,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,DUNEARN SECONDARY SCHOOL,BUKIT BATOK,21   BUKIT BATOK WEST AVENUE 2,NULL,Malay,na,WEST,86,http://www.dunearnsec.moe.edu.sg
63442316,Yes,na,NULL,436895,GOVERNMENT SCHOOL,MDM LEONG SOOK HING,MISS LIE SUYIN JAMIE,MIXED LEVELS,DHS@MOE.EDU.SG,Yes,na,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",MR CHUA KAH SHENG,63450533,Yes,MR LOW TECK ENG TONY,Chinese,CO-ED SCHOOL,NULL,Yes,SINGLE SESSION,DUNMAN HIGH SCHOOL,KALLANG,10   TANJONG RHU ROAD,NULL,na,na,EAST,87,http://www.dunmanhigh.moe.edu.sg
67842164,No,Tamil,NULL,529093,GOVERNMENT SCHOOL,MR MOHAMED SAYADI BIN MOHAMED NOR,MRS CLAIRE CHO,SECONDARY,DUNMAN_SS@MOE.EDU.SG,No,na,TAMPINES EAST MRT,"28, 29, 293",NULL,67862668,No,MR TOH THIAM CHYE,Chinese,CO-ED SCHOOL,NULL,Yes,SINGLE SESSION,DUNMAN SECONDARY SCHOOL,TAMPINES,21   TAMPINES STREET 45,NULL,Malay,na,EAST,88,http://www.dunmansec.moe.edu.sg
67866649,No,Tamil,NULL,529258,GOVERNMENT SCHOOL,NULL,MRS LEE-GOH SIEW LING MARIA,PRIMARY,esps@moe.edu.sg,No,na,Tampines,"291, 28,18",NULL,67866192,No,MR WONG KIN MUN,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,EAST SPRING PRIMARY SCHOOL,TAMPINES,31   TAMPINES ST 33,NULL,Malay,na,EAST,89,http://www.eastspringpri.moe.edu.sg
65873804,No,Tamil,NULL,529231,GOVERNMENT SCHOOL,MR TAN SHIN EIK,MR ANG JOHNNY,SECONDARY,esss@moe.edu.sg,No,na,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",NULL,65873805,No,MISS HO SUSIE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,EAST SPRING SECONDARY SCHOOL,TAMPINES,30   TAMPINES STREET 34,NULL,Malay,na,EAST,90,http://www.eastspringsec.moe.edu.sg
63126093,No,Tamil,NULL,828869,GOVERNMENT SCHOOL,MDM FAZILAH MARICAR D/O MD ALI M,MR LOW KAH HENG THOMAS,PRIMARY,edgefield_ps@moe.edu.sg,No,na,Punggol MRT,"3, 34, 62, 82, 83, 136",NULL,63126091,No,MR MICHEL SAW MUN SEONG,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,EDGEFIELD PRIMARY SCHOOL,PUNGGOL,41   EDGEFIELD PLAINS,NULL,Malay,na,NORTH,91,http://www.edgefieldpri.moe.edu.sg
63153120,No,Tamil,NULL,828814,GOVERNMENT SCHOOL,MR BENSON TEO HONG GUAN,MDM LIM PUAY KHENG,SECONDARY,edgefield_ss@moe.edu.sg,No,na,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",NULL,68839511,No,MR LEE PECK PING,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,EDGEFIELD SECONDARY SCHOOL,PUNGGOL,36   PUNGGOL FIELD,NULL,Malay,na,NORTH,92,http://www.edgefieldsec.moe.edu.sg
65844392,No,Tamil,NULL,518866,GOVERNMENT SCHOOL,MR MOHAMAD NOOR BIN ABDUL MANAF @,MRS ESTHER SEE-LING SZENGEN,PRIMARY,epps@moe.edu.sg,No,na,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",NULL,65844393,No,MDM CHUA PEI PEI,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ELIAS PARK PRIMARY SCHOOL,PASIR RIS,11   PASIR RIS STREET 52,NULL,Malay,na,EAST,93,http://www.eliasparkpri.moe.edu.sg
64824670,No,na,NULL,757521,GOVERNMENT SCHOOL,MDM CHUA HUI PIN,MR RAZALI B SENIN,PRIMARY,endeavour_ps@moe.edu.sg,No,64824835,Sembawang MRT Station,"859, 962",NULL,64824650,No,MR KOH KIAN SENG THOMAS,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,ENDEAVOUR PRIMARY SCHOOL,SEMBAWANG,10   Admiralty Link,NULL,Malay,na,NORTH,94,https://endeavourpri.moe.edu.sg/
63518399,No,Tamil,NULL,573838,GOVERNMENT SCHOOL,MR CHEN XUANTING EDMUND,MR TAY JUNCHENG ADRIAN,JUNIOR COLLEGE,eunoiajc@moe.edu.sg,No,na,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",NULL,63518388,Yes,MDM CHEANG MEI HENG,Chinese,CO-ED SCHOOL,NULL,No,FULL DAY,EUNOIA JUNIOR COLLEGE,BISHAN,2    Sin Ming Place,NULL,Malay,na,NORTH,95,http://www.eunoiajc.moe.edu.sg
67488554,No,Tamil,NULL,419529,GOVERNMENT SCHOOL,NULL,MDM TAN KIM YAN,PRIMARY,eunos_ps@moe.edu.sg,No,na,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",NULL,67463336,No,MDM PHUA YIN LIN GRACE,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,EUNOS PRIMARY SCHOOL,GEYLANG,95   JALAN EUNOS,NULL,Malay,na,EAST,96,http://www.eunospri.moe.edu.sg/
63688084,No,Tamil,NULL,738908,GOVERNMENT SCHOOL,MRS PETRINA KOH,MDM YEO SIAU YEN,PRIMARY,EVERGREEN_PS@MOE.EDU.SG,No,na,Admiralty,"913(front), 911 & 858(back)",NULL,63687705,No,MDM RABIATHUL BAZRIYA D/O ABU BAKAR,Chinese,CO-ED SCHOOL,NULL,No,SINGLE SESSION,EVERGREEN PRIMARY SCHOOL,WOODLANDS,31   WOODLANDS CIRCLE,NULL,Malay,na,NORTH,97,http://www.evergreenpri.moe.edu.sg/
